Id,section,instance_type,instance_category,participant,database,answer,database_type
C2071,CPD_search,compound,PROBE,207,ChEMBL,Synonym 1,Academia
C2071,CPD_search,compound,PROBE,207,ChEMBL,Structure search,Academia
C2072,CPD_search,compound,PROBE,207,ChEMBL,Synonym 2,Academia
C2072,CPD_search,compound,PROBE,207,ChEMBL,Structure search,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Synonym 1,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Synonym 2,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,CAS number,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Structure search,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Synonym 1,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Synonym 2,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Synonym 3,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,ChEMBL,Structure search,Academia
C2075,CPD_search,compound,FDA,207,ChEMBL,Synonym 1,Academia
C2075,CPD_search,compound,FDA,207,ChEMBL,Synonym 2,Academia
C2075,CPD_search,compound,FDA,207,ChEMBL,Synonym 3,Academia
C2075,CPD_search,compound,FDA,207,ChEMBL,CAS number,Academia
C2075,CPD_search,compound,FDA,207,ChEMBL,Structure search,Academia
T2071,TAR_search,target,enzyme,207,ChEMBL,Synonym 1,Academia
T2071,TAR_search,target,enzyme,207,ChEMBL,Synonym 2,Academia
T2071,TAR_search,target,enzyme,207,ChEMBL,Synonym 3,Academia
T2071,TAR_search,target,enzyme,207,ChEMBL,UniprotID,Academia
T2072,TAR_search,target,transporter,207,ChEMBL,Synonym 1,Academia
T2072,TAR_search,target,transporter,207,ChEMBL,Synonym 2,Academia
T2072,TAR_search,target,transporter,207,ChEMBL,Synonym 3,Academia
T2072,TAR_search,target,transporter,207,ChEMBL,UniprotID,Academia
T2073,TAR_search,target,nhr,207,ChEMBL,Synonym 1,Academia
T2073,TAR_search,target,nhr,207,ChEMBL,Synonym 2,Academia
T2073,TAR_search,target,nhr,207,ChEMBL,UniprotID,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Target,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Action on target,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Substance effect,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Activity coefficient,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,In vivo data,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Assay details,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,Toxicology,Academia
C2071,CPD_biodata,compound,PROBE,207,ChEMBL,References,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,Target,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,Action on target,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,Substance effect,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,Activity coefficient,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,In vivo data,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,Assay details,Academia
C2072,CPD_biodata,compound,PROBE,207,ChEMBL,References,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Target,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Action on target,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Substance effect,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Activity coefficient,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,In vivo data,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Assay details,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,References,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Target,Academia
